
====================================================================================================
ANNOTATION COUNT REPORT - USMLE Sample Dataset
====================================================================================================

Total unique cases with annotations: 209
Models found: deepseek, llama, llama_large, llama_small

Goal: 3 annotations per case per model

====================================================================================================
Case ID                    deepseek          llama    llama_large    llama_small          Total
usmle_sample_269                  0              1              0              1              2
usmle_sample_272                  0              1              0              1              2
usmle_sample_273                  0              0              1              0              1
usmle_sample_274                  0              1              1              0              2
usmle_sample_275                  0              0              1              2              3
usmle_sample_276                  1              0              0              2              3
usmle_sample_279                  1              0              0              0              1
usmle_sample_282                  0              0              0              1              1
usmle_sample_283                  0              0              0              2              2
usmle_sample_285                  0              0              0              1              1
usmle_sample_288                  0              1              0              1              2
usmle_sample_291                  0              0              1              2              3
usmle_sample_292                  0              0              0              1              1
usmle_sample_293                  1              0              0              0              1
usmle_sample_294                  0              0              0              1              1
usmle_sample_297                  1              0              0              0              1
usmle_sample_298                  0              1              0              0              1
usmle_sample_300                  1              0              0              0              1
usmle_sample_302                  0              0              1              1              2
usmle_sample_304                  1              0              0              0              1
usmle_sample_307                  1              0              0              0              1
usmle_sample_308                  0              0              0              1              1
usmle_sample_311                  0              1              0              0              1
usmle_sample_312                  1              0              0              0              1
usmle_sample_313                  0              0              0              1              1
usmle_sample_314                  1              0              0              0              1
usmle_sample_315                  0              1              0              2              3
usmle_sample_316                  0              0              2              0              2
usmle_sample_317                  0              0              0              1              1
usmle_sample_318                  1              0              0              0              1
usmle_sample_319                  0              0              0              2              2
usmle_sample_321                  0              1              1              2              4
usmle_sample_322                  1              0              0              0              1
usmle_sample_326                  0              0              0              1              1
usmle_sample_327                  1              0              0              0              1
usmle_sample_329                  1              1              0              0              2
usmle_sample_330                  1              0              0              0              1
usmle_sample_332                  0              0              0              2              2
usmle_sample_335                  0              0              0              1              1
usmle_sample_339                  1              0              1              0              2
usmle_sample_343                  1              1              0              0              2
usmle_sample_345                  0              1              0              2              3
usmle_sample_347                  0              0              0              1              1
usmle_sample_351                  0              1              1              0              2
usmle_sample_360                  0              0              0              1              1
----------------------------------------------------------------------------------------------------
TOTAL                            59             54             61            161            335
====================================================================================================

====================================================================================================
SUMMARY STATISTICS
====================================================================================================

Total annotations across all cases: 335
Average annotations per case: 1.60

Annotation count distribution:
  Cases with  1 annotations: 119 ( 56.9%)
  Cases with  2 annotations:  65 ( 31.1%)
  Cases with  3 annotations:  19 (  9.1%)
  Cases with  4 annotations:   4 (  1.9%)
  Cases with  6 annotations:   1 (  0.5%)
  Cases with  7 annotations:   1 (  0.5%)

Per-model statistics:
  deepseek       :   59 annotations (avg 0.28 per case)
  llama          :   54 annotations (avg 0.26 per case)
  llama_large    :   61 annotations (avg 0.29 per case)
  llama_small    :  161 annotations (avg 0.77 per case)

====================================================================================================
CASES NEEDING MORE ANNOTATIONS
====================================================================================================

⚠️  Cases with 1-2 annotations (184 cases):
    usmle_sample_0 (2), usmle_sample_2 (2), usmle_sample_4 (2), usmle_sample_5 (2), usmle_sample_7 (1)
    usmle_sample_8 (2), usmle_sample_9 (2), usmle_sample_11 (2), usmle_sample_12 (1), usmle_sample_13 (1)
    usmle_sample_14 (2), usmle_sample_16 (1), usmle_sample_17 (2), usmle_sample_18 (2), usmle_sample_22 (1)
    usmle_sample_26 (2), usmle_sample_30 (1), usmle_sample_31 (2), usmle_sample_34 (1), usmle_sample_35 (1)
    ... and 164 more cases

====================================================================================================
